gene_id,gene_name
ENSG00000225610.1,AC007679.1
ENSG00000231955.1,AC007383.2
ENSG00000277502.1,AC007383.3
ENSG00000229321.2,AC008269.1
ENSG00000224342.1,AC007879.1
ENSG00000234902.6,AC007879.3
ENSG00000223725.6,AC009226.1
ENSG00000272851.1,AC096772.1
ENSG00000272807.1,AC007038.1
ENSG00000270659.1,AC079610.1
ENSG00000272519.1,AC079610.2
ENSG00000197585.10,AC068051.1
ENSG00000227769.7,AC072062.1
ENSG00000237525.7,AC012668.3
ENSG00000226276.1,AC093382.1
ENSG00000231092.1,AC012513.1
ENSG00000233581.1,AC069155.1
ENSG00000225794.3,AC073321.1
ENSG00000236886.2,AC007563.2
ENSG00000259855.1,AC007749.1
ENSG00000272555.1,AC009974.1
ENSG00000235024.1,AC097468.2
ENSG00000286606.1,AC097468.3
ENSG00000232789.1,AC053503.2
ENSG00000229525.1,AC053503.1
ENSG00000269068.1,AC009955.4
ENSG00000239498.1,AC019211.1
ENSG00000236451.3,AC067956.1
ENSG00000224819.2,AC093843.1
ENSG00000273301.1,AC016717.2
ENSG00000272622.2,AC010735.2
ENSG00000225963.8,AC009950.1
ENSG00000235419.5,AC010149.1
ENSG00000270891.1,AC012507.2
ENSG00000227033.1,AC019130.1
ENSG00000237126.8,AC073254.1
ENSG00000228162.1,AC097713.1
ENSG00000233611.3,AC019068.1
ENSG00000124835.2,AC105760.1
ENSG00000222032.1,AC112721.2
ENSG00000234949.2,AC104667.2
ENSG00000227107.1,AC104667.1
ENSG00000283635.1,AC012485.3
ENSG00000220256.4,AC093802.1
ENSG00000235861.1,AC005237.1
ENSG00000273113.1,AC133528.1
ENSG00000224272.2,AC131097.2
ENSG00000235151.1,AC131097.3
ENSG00000235158.1,AC087430.1
ENSG00000253049.1,AC024060.1
ENSG00000223727.6,AC034195.1
ENSG00000235978.6,AC018816.1
ENSG00000233912.1,AC026202.2
ENSG00000229642.1,AC087857.1
ENSG00000226022.1,AC026167.1
ENSG00000189229.11,AC069277.1
ENSG00000228351.3,AC018832.1
ENSG00000269886.1,AC022382.1
ENSG00000269982.1,AC018809.2
ENSG00000272410.5,AC022384.1
ENSG00000272263.1,AC034198.2
ENSG00000268279.4,AC090004.1
ENSG00000255021.1,AC093496.1
ENSG00000283392.1,AC090952.2
ENSG00000274840.4,AC132807.2
ENSG00000282987.1,AC099753.1
ENSG00000265028.1,AC012087.1
ENSG00000237838.1,AC092422.1
ENSG00000283563.1,AC098650.1
ENSG00000272149.1,AC112211.1
ENSG00000227498.2,AC018359.1
ENSG00000271993.1,AC126118.1
ENSG00000271653.1,AC097359.3
ENSG00000284669.1,AC092053.3
ENSG00000231873.2,AC099560.1
ENSG00000281160.1,AC018358.1
ENSG00000230084.6,AC006059.1
ENSG00000235288.3,AC099329.1
ENSG00000273291.5,AC092042.3
ENSG00000272121.1,AC006058.3
ENSG00000261786.1,AC006058.1
ENSG00000271937.1,AC104187.1
ENSG00000277509.1,AC099669.1
ENSG00000272077.1,AC124045.1
ENSG00000251967.1,AC104304.1
ENSG00000260236.1,AC099778.1
ENSG00000244380.1,AC134772.1
ENSG00000235236.1,AC137630.2
ENSG00000223343.1,AC137630.1
ENSG00000272434.1,AC137630.3
ENSG00000225399.4,AC121247.1
ENSG00000243224.1,AC006252.1
ENSG00000272305.5,AC096887.1
ENSG00000271976.1,AC012467.2
ENSG00000242317.1,AC121764.1
ENSG00000273493.1,AC098479.1
ENSG00000272182.1,AC135507.1
ENSG00000242545.1,AC126121.2
ENSG00000271843.1,AC012557.1
ENSG00000272181.1,AC012557.2
ENSG00000244513.7,AC109587.1
ENSG00000277855.1,AC097634.3
ENSG00000272774.1,AC112219.2
ENSG00000244345.1,AC104435.2
ENSG00000242828.1,AC068756.1
ENSG00000241593.5,AC099542.1
ENSG00000242009.2,AC129807.1
ENSG00000261292.2,AC110491.1
ENSG00000282527.1,AC110491.3
ENSG00000279658.1,AC110491.2
ENSG00000251088.1,AC117473.1
ENSG00000248839.1,AC021660.2
ENSG00000239462.1,AC091212.1
ENSG00000243089.2,AC107029.1
ENSG00000244464.2,AC107029.2
ENSG00000273374.1,AC069222.1
ENSG00000239828.7,AC063944.1
ENSG00000242029.1,AC078980.1
ENSG00000239482.6,AC112487.1
ENSG00000272844.1,AC074044.1
ENSG00000240057.6,AC078785.1
ENSG00000239268.3,AC092691.1
ENSG00000243276.6,AC068633.1
ENSG00000251012.2,AC083800.1
ENSG00000272967.1,AC073352.1
ENSG00000242622.2,AC092910.3
ENSG00000273454.1,AC112503.2
ENSG00000272678.1,AC112503.1
ENSG00000248787.2,AC092903.2
ENSG00000250012.2,AC079848.1
ENSG00000250934.2,AC016924.1
ENSG00000251448.2,AC063919.1
ENSG00000261159.1,AC112484.3
ENSG00000231305.4,AC112484.1
ENSG00000273437.1,AC108673.3
ENSG00000250643.1,AC083906.3
ENSG00000250592.1,AC055733.2
ENSG00000250129.5,AC116424.1
ENSG00000249725.1,AC079942.1
ENSG00000250983.1,AC022296.3
ENSG00000260633.1,AC010207.1
ENSG00000273455.1,AC072039.2
ENSG00000261758.1,AC117382.2
ENSG00000273486.1,AC096992.2
ENSG00000272609.1,AC016252.1
ENSG00000251471.1,AC016933.1
ENSG00000249417.1,AC117383.1
ENSG00000268129.1,AC026304.1
ENSG00000243415.2,AC107021.1
ENSG00000243620.2,AC092957.1
ENSG00000239922.2,AC092958.1
ENSG00000241792.1,AC092958.2
ENSG00000240521.1,AC092979.1
ENSG00000242791.2,AC117395.1
ENSG00000243944.5,AC117386.2
ENSG00000241048.1,AC117386.1
ENSG00000239941.1,AC108718.1
ENSG00000243305.1,AC026347.1
ENSG00000244268.1,AC117394.2
ENSG00000241220.1,AC078788.1
ENSG00000243486.1,AC068985.1
ENSG00000284952.1,AC104472.3
ENSG00000272990.1,AC084036.1
ENSG00000241770.1,AC104411.1
ENSG00000242536.2,AC079943.2
ENSG00000243150.6,AC106707.1
ENSG00000260572.1,AC069224.1
ENSG00000241168.1,AC128685.1
ENSG00000240033.1,AC069439.2
ENSG00000244706.4,AC026353.1
ENSG00000241882.1,AC124893.1
ENSG00000273177.1,AC092954.2
ENSG00000269889.1,AC078802.1
ENSG00000269984.1,AC078795.1
ENSG00000270135.1,AC078795.3
ENSG00000270096.1,AC078795.2
ENSG00000239219.2,AC008040.1
ENSG00000239628.1,AC073288.1
ENSG00000242578.1,AC073288.2
ENSG00000286695.1,AC026316.5
ENSG00000237473.2,AC068759.1
ENSG00000226782.2,AC117465.1
ENSG00000270321.2,AC007953.2
ENSG00000201957.1,AC076966.1
ENSG00000242539.2,AC007620.2
ENSG00000272699.1,AC007620.3
ENSG00000239774.1,AC125618.1
ENSG00000239381.7,AC125613.1
ENSG00000240063.1,AC069431.1
ENSG00000273261.1,AC092953.2
ENSG00000272922.1,AC107294.1
ENSG00000197099.8,AC068631.1
ENSG00000283149.1,AC068631.2
ENSG00000263826.1,AC112907.3
ENSG00000231724.1,AC112907.1
ENSG00000198491.3,AC007920.1
ENSG00000283175.1,AC007920.2
ENSG00000228804.5,AC072022.1
ENSG00000234238.2,AC022498.1
ENSG00000223812.8,AC073365.1
ENSG00000232130.1,AC092966.1
ENSG00000238043.1,AC024559.1
ENSG00000232874.1,AC080129.2
ENSG00000229334.1,AC046143.1
ENSG00000223711.1,AC069213.1
ENSG00000229178.1,AC233280.1
ENSG00000231443.2,AC124944.1
ENSG00000272741.1,AC069257.3
ENSG00000237167.1,AC128709.3
ENSG00000273308.1,AC024560.3
ENSG00000236833.1,AC024560.1
ENSG00000273375.1,AC055764.2
ENSG00000281016.1,AC092574.2
ENSG00000272885.1,AC092574.1
ENSG00000283183.2,AC116565.1
ENSG00000248416.1,AC107464.1
ENSG00000272588.1,AC139887.4
ENSG00000249592.6,AC139887.2
ENSG00000251639.2,AC092535.3
ENSG00000251652.1,AC092535.4
ENSG00000212458.1,AC092535.1
ENSG00000244459.2,AC147067.1
ENSG00000248516.1,AC105415.1
ENSG00000251408.1,AC113615.1
ENSG00000170846.17,AC093323.1
ENSG00000245748.1,AC097382.2
ENSG00000273267.1,AC097381.3
ENSG00000251615.3,AC104825.1
ENSG00000205959.4,AC105345.1
ENSG00000261490.1,AC005674.1
ENSG00000251152.1,AC025539.1
ENSG00000249631.6,AC005699.1
ENSG00000250371.1,AC007370.2
ENSG00000250098.1,AC007370.1
ENSG00000250497.1,AC007126.1
ENSG00000251679.1,AC073848.1
ENSG00000249988.1,AC092546.1
ENSG00000251412.1,AC006296.2
ENSG00000273133.1,AC116651.1
ENSG00000248138.5,AC097515.1
ENSG00000249998.1,AC106894.1
ENSG00000249502.3,AC006160.1
