gene_name,amyloid,gpath,tangles,cogdx,n_traits_DE
SEC62,TRUE,TRUE,TRUE,TRUE,4
FNDC3B,TRUE,TRUE,TRUE,TRUE,4
DCUN1D1,TRUE,TRUE,TRUE,FALSE,3
AP2M1,TRUE,TRUE,TRUE,TRUE,4
ABCF3,TRUE,TRUE,TRUE,TRUE,4
PSMD2,TRUE,TRUE,TRUE,TRUE,4
CLCN2,TRUE,TRUE,FALSE,FALSE,2
EIF4A2,TRUE,TRUE,TRUE,TRUE,4
RPL39L,TRUE,TRUE,TRUE,TRUE,4
LPP,TRUE,TRUE,TRUE,TRUE,4
NCBP2,TRUE,TRUE,TRUE,TRUE,4
CTBP1-DT,TRUE,TRUE,TRUE,TRUE,4
POLN,TRUE,TRUE,TRUE,TRUE,4
RNF4,TRUE,TRUE,TRUE,TRUE,4
WFS1,TRUE,TRUE,TRUE,TRUE,4
CC2D2A,TRUE,TRUE,TRUE,TRUE,4
PPARGC1A,TRUE,TRUE,TRUE,TRUE,4
PCDH7,TRUE,TRUE,TRUE,TRUE,4
KLHL5,TRUE,TRUE,TRUE,TRUE,4
HOPX,TRUE,TRUE,TRUE,TRUE,4
UTP3,TRUE,TRUE,TRUE,TRUE,4
MAPK10,TRUE,TRUE,TRUE,TRUE,4
NAP1L5,TRUE,TRUE,TRUE,TRUE,4
PPA2,TRUE,TRUE,TRUE,TRUE,4
TBCK,TRUE,TRUE,TRUE,TRUE,4
ANK2,TRUE,TRUE,TRUE,TRUE,4
PCDH10,TRUE,TRUE,TRUE,TRUE,4
SLC7A11,TRUE,TRUE,TRUE,TRUE,4
MGST2,TRUE,TRUE,TRUE,TRUE,4
HHIP,TRUE,TRUE,TRUE,TRUE,4
RPS3A,TRUE,TRUE,TRUE,TRUE,4
VEGFC,TRUE,TRUE,TRUE,TRUE,4
NDUFS6,TRUE,TRUE,TRUE,TRUE,4
CTNND2,TRUE,TRUE,TRUE,TRUE,4
SUB1,TRUE,TRUE,TRUE,TRUE,4
SLC1A3,TRUE,TRUE,TRUE,TRUE,4
TTC33,TRUE,TRUE,TRUE,TRUE,4
RPL37,TRUE,TRUE,TRUE,TRUE,4
OXCT1,TRUE,TRUE,TRUE,TRUE,4
